parent_asin,avg_rating,review_count,credibility_score,themes_counts,themes_pct,summary,evidence,pos_snippets,neg_snippets,formatted_summary
B000050FDE,4.567,150,1,"Usability (7), Battery (5), Value (4), Quality (2), Delivery (2), Fit (1)","Usability 33%, Battery 24%, Value 19%, Quality 10%, Delivery 10%, Fit 5%","The battery life is great, however it seems to take a while to fully charge. The charger base is easy to clean even if dried up tooth paste begins to build up. The dual head does a fantastic job, the brush is much lighter than    Just a few days of brushing with this and you will notice a huge difference in your gums and teeth.","Product works well and is easy to use. | This tooth brush cleans well, and is easy to use. | Compared to a regular tooth brush <br /><br />The battery life is great, however it seems to take a while to fully charge.","Product works well and is easy to use. | This tooth brush cleans well, and is easy to use.",Replacement heads are a little expensive but not prohibitive. | Which is more expensive.,"Based on 150 verified reviews (avg rating 4.6/5, credibility 1.00). Top themes: Usability 33%, Battery 24%, Value 19%, Quality 10%, Delivery 10%, Fit 5%. The battery life is great, however it seems to take a while to fully charge. The charger base is easy to clean even if dried up tooth paste begins to build up. The dual head does a fantastic job, the brush is much lighter than    Just a few days of brushing with this and you will notice a huge difference in your gums and teeth."
B00009RB0X,4.065,93,1,"Value (18), Battery (5), Quality (4), Noise (4), Usability (1)","Value 56%, Battery 16%, Quality 12%, Noise 12%, Usability 3%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.","Replacing an old razor of same model; features and quality remain the same and expect to keep it until it falls apart; prefer corded for the power it provides Good razor for the price. | If Amazon would lower their price just a bit (  Even at their current price, it's still worth it. | This corded razor shaves reasonably well, but takes longer and more effort than  However, <br /> Of course, the razor is lighter than the Quadra because there is no battery, and it tends to make a bit of a shrill sound from time to time.<br />Overall, though  Great bargain.","This corded razor shaves reasonably well, but takes longer and more effort than  However, <br /> Of course, the razor is lighter than the Quadra because there is no battery, and it tends to make a bit of a shrill sound from time to time.<br />Overall, though  Great bargain. | Well worth the money.","This basic model gives   Some people might mistake the quiet running motor for a slow running one, but that doesn't seem to be the case. | Too expensive originally $32.60!!!!!!!.","Based on 93 verified reviews (avg rating 4.1/5, credibility 1.00). Top themes: Value 56%, Battery 16%, Quality 12%, Noise 12%, Usability 3%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B0000ZLF18,3.316,79,1,"Scent (32), Value (6), Quality (3), Usability (2), Delivery (1), Fit (1), Safety (1)","Scent 70%, Value 13%, Quality 7%, Usability 4%, Delivery 2%, Fit 2%, Safety 2%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.","Good shipping speed, good price, packaged well. | Best sandalwood scent out there and very good price This went right in the garbage. | Incredibly aromatic, strong,  It's very potent and claimed to be &#34;pure&#34; which  50 for this size is an amazing deal when a company like Kumba which has equal scents, in  They also on their website offer trial samples.","Good shipping speed, good price, packaged well. | Smells great on both   Money well spent.",BUT THE SANDALWOOD DOES NOT SMELL LIKE SANDALWOOD! | Divine Opium has similar notes to  Like  Doesn't smell like true sandalwood.,"Based on 79 verified reviews (avg rating 3.3/5, credibility 1.00). Top themes: Scent 70%, Value 13%, Quality 7%, Usability 4%, Delivery 2%, Fit 2%, Safety 2%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B00011JN5G,2.778,180,1,"Usability (11), Battery (4), Value (1), Content (1), Noise (1)","Usability 61%, Battery 22%, Value 6%, Content 6%, Noise 6%","You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences.","Where other methods of hair removal can encourage stronger hair regrowth   Then       Not only can   It is very easy to use. | This item is just a ""no"" for  It is really hard to finagle grabbing the individual hairs and keeping the other hand dipped in salt water on the little grounding pad while trying to use the other hand to put the needle in. | Hard to use.","Good but not good. | After using for several months once a week,  But <br /><br />Pros - <br /><br />Cons -<br />Quite painful<br />The electricity flowing through <br />If you reduce the power setting its not very effective<br />Causes dark spots and such which eventually fade away Works!","This item is just a ""no"" for  It is really hard to finagle grabbing the individual hairs and keeping the other hand dipped in salt water on the little grounding pad while trying to use the other hand to put the needle in. | Hard to use.","Based on 180 verified reviews (avg rating 2.8/5, credibility 1.00). Top themes: Usability 61%, Battery 22%, Value 6%, Content 6%, Noise 6%. You are summarizing a batch of product reviews. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. Compress redundancy; keep 1–2 sentences."
B0001HYLR0,4.294,51,1,"Value (7), Delivery (5), Usability (3), Battery (2), Content (1), Safety (1)","Value 37%, Delivery 26%, Usability 16%, Battery 11%, Content 5%, Safety 5%","Reviews are written collectively (customers as a group), neutral and factual. Do not use first-person words (I, my, me, we, our). No external facts; only use information present in the input. Prefer patterns/themes over one-off anecdotes.","Hard to find these sometimes at department stores, let alone for a decent price. | A good shave, but the price isn't quite right.. | However,   () Manufacturers are entitled to charge what they wish for their products, but  Great Product!.",Works great. | Works Great.,"By the time the Norelco shaving heads reached  The proverbial and literal, &#34;slow boat from China.&#34; Philips Norelco HQ177 Cool Skin Replacement Heads for 7700 Series Shavers. | Hard to find these sometimes at department stores, let alone for a decent price.","Based on 51 verified reviews (avg rating 4.3/5, credibility 1.00). Top themes: Value 37%, Delivery 26%, Usability 16%, Battery 11%, Content 5%, Safety 5%. Reviews are written collectively (customers as a group), neutral and factual. Do not use first-person words (I, my, me, we, our). No external facts; only use information present in the input. Prefer patterns/themes over one-off anecdotes."
B00023J4AW,4.263,80,1,"Value (7), Usability (7), Fit (5), Quality (4), Delivery (1), Content (1)","Value 28%, Usability 28%, Fit 20%, Quality 16%, Delivery 4%, Content 4%","Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. No external facts; only use information present in the input. Compress redundancy; keep 1–2 sentences.","It works and you cN fit it in your purse so you are always prepared Just what   Thank you., great price and great product. | Durable and easy to use. | Just the size   It is inexpensive and worth the price  Five Stars.","It works and you cN fit it in your purse so you are always prepared Just what   Thank you., great price and great product. | This is just like the old style rain bonnets   They look ridiculous, but perfect for when it rains the day   Since    It keeps  It’s quite large and roomy-even for  Perfect!.",Hard to find in stores these days. | Hard to keep on.,"Based on 80 verified reviews (avg rating 4.3/5, credibility 1.00). Top themes: Value 28%, Usability 28%, Fit 20%, Quality 16%, Delivery 4%, Content 4%. Rules: Summarize collectively (customers as a group), neutral and factual. Prefer patterns/themes over one-off anecdotes. No external facts; only use information present in the input. Compress redundancy; keep 1–2 sentences."
B0002KHT8Y,4.471,68,1,"Battery (6), Value (3), Delivery (3), Usability (3), Quality (1), Content (1), Noise (1)","Battery 33%, Value 17%, Delivery 17%, Usability 17%, Quality 6%, Content 6%, Noise 6%","The Oral B 8850 Professional Care Oral Care System works very well right after dental implant surgery. The vibration of the cheaper model was annoying, where as this one is much smoother and easier to use. The round head is best for   The slower speed and softer bristles are beneficial too for a sensitive mouth and teeth.",";-)      Then   It seems most people think it extravagant to purchase an expensive toothbrush, but it is so worth it. | Oral B is great for  Due to family heredity and some bad habits    Because that version did not have the option to remove and replace the battery    <br /><br /><br /><br />The brush heads sent with it are nice, especially for those who have not used any of them before. | Short story is  In  Just received <br /><br />Pros:<br />-Bit less expensive than some Sonicaire models.<br />-60 Day Challenge which enabled <br /><br />Cons:<br />- Certainly not inspiring <br />-Used the unit for about a month and had a dental cleaning.",So  Works Great. | The Oral-B Professional works very well.,";-)      Then   It seems most people think it extravagant to purchase an expensive toothbrush, but it is so worth it. | Oral B is great for  Due to family heredity and some bad habits    Because that version did not have the option to remove and replace the battery    <br /><br /><br /><br />The brush heads sent with it are nice, especially for those who have not used any of them before.","Based on 68 verified reviews (avg rating 4.5/5, credibility 1.00). Top themes: Battery 33%, Value 17%, Delivery 17%, Usability 17%, Quality 6%, Content 6%, Noise 6%. The Oral B 8850 Professional Care Oral Care System works very well right after dental implant surgery. The vibration of the cheaper model was annoying, where as this one is much smoother and easier to use. The round head is best for   The slower speed and softer bristles are beneficial too for a sensitive mouth and teeth."
B0002M5JNY,4.472,53,1,"Usability (9), Battery (8), Value (3), Quality (1)","Usability 43%, Battery 38%, Value 14%, Quality 5%","This toothbrush has been used at least twice a day since October 17, 2007. It has a built-in timer so you know how long to brush each quadrant of your mouth. Lasted almost 8 years with 2 uses per day. The batteries are not replaceable.","Good toothbrush but the batteries are not replaceable so you need to replace the whole unit when they won't hold a charge anymore Great Power Toothbrush. | The brush is easy to use and the timer is great. | When the one            Excellent toothbrush, especially for what     It is slightly harsher - the brush with it is a little harsher on  After using the Oral-B for about 3 weeks  It's light, does a great job cleaning, and should be fairly easy to find replacement brushes.","When the one            Excellent toothbrush, especially for what     It is slightly harsher - the brush with it is a little harsher on  After using the Oral-B for about 3 weeks  It's light, does a great job cleaning, and should be fairly easy to find replacement brushes. | Good toothbrush but the batteries are not replaceable so you need to replace the whole unit when they won't hold a charge anymore Great Power Toothbrush.","The bad news: It just stopped charging yesterday, June 24, 2015. | It has a timer which is<br />helpful plus cuts off if brushing an area too hard.","Based on 53 verified reviews (avg rating 4.5/5, credibility 1.00). Top themes: Usability 43%, Battery 38%, Value 14%, Quality 5%. This toothbrush has been used at least twice a day since October 17, 2007. It has a built-in timer so you know how long to brush each quadrant of your mouth. Lasted almost 8 years with 2 uses per day. The batteries are not replaceable."
B0002SGSNI,4.103,126,1,"Battery (2), Quality (1), Usability (1)","Battery 50%, Quality 25%, Usability 25%","Rules: Summarize collectively (customers as a group), neutral and factual. Do not use first-person words (I, my, me, we, our). Compress redundancy; keep 1–2 sentences. If you're kind of heavy handed like  Last week (week of Jul/15/13) of product reviews.","Best base coat   This works great. | A lil runny but works well does NOT work :'(. | DON'T WASTE YOUR MONEY LIKE  Did not work for   Maybe it's just  This base coat did not extend the life of  Perhaps it's a coincidence, but  They usually get flaky at the tips after   Fast drying!.",Best base coat   This works great. | A lil runny but works well does NOT work :'(.,"DON'T WASTE YOUR MONEY LIKE  THIS PRODUCT DOESN'T WORK AS ADVERTISED!! | DON'T WASTE YOUR MONEY LIKE  Did not work for   Maybe it's just  This base coat did not extend the life of  Perhaps it's a coincidence, but  They usually get flaky at the tips after   Fast drying!.","Based on 126 verified reviews (avg rating 4.1/5, credibility 1.00). Top themes: Battery 50%, Quality 25%, Usability 25%. Rules: Summarize collectively (customers as a group), neutral and factual. Do not use first-person words (I, my, me, we, our). Compress redundancy; keep 1–2 sentences. If you're kind of heavy handed like  Last week (week of Jul/15/13) of product reviews."
B0006B0W42,4.054,168,1,"Usability (6), Quality (4), Value (3)","Usability 46%, Quality 31%, Value 23%","This brush has a good, long reach, and soft bristles that feel heavenly on your back. The bristles fall somewhere in the middle; they're rigid enough to exfoliate, but not so much that they tear or irritate. The handle is very thin and the material is very slick.","The handle is very thin and the material is very slick, which combine to make it hard to hold with soapy hands. | The thickness of the brush made it easy to get into the cracks and crevices of the undercarriage - just protect your boys from the stiff bristles.<br /><br />Overall  Cleans feet and between toes well!. | It was expensive but a good product.","This is the best back brush there is  GREAT BODY BRUSH!. | thanks for making it easier to was  Perfect length for small spaces, perfect softness to stiffness ratio!.","Very bad product! | The handle is very thin and the material is very slick, which combine to make it hard to hold with soapy hands.","Based on 168 verified reviews (avg rating 4.1/5, credibility 1.00). Top themes: Usability 46%, Quality 31%, Value 23%. This brush has a good, long reach, and soft bristles that feel heavenly on your back. The bristles fall somewhere in the middle; they're rigid enough to exfoliate, but not so much that they tear or irritate. The handle is very thin and the material is very slick."
