parent_asin,avg_rating,review_count,credibility_score,themes,summary,formatted_summary
069267599X,4.794871795,39,1,"Quality (5), Value (1), Content (2), Usability (4)","The cards are well made and beautifully drawn. The explanation for each spirit cat is on the card which makes it easy to draw a card for inspiration and ignite intuition. This is a deeply inspiring deck, with such intense, yet whimsical art, and thoughtful messages.","Based on 39 verified reviews (avg rating 4.8/5, credibility 1.00): The cards are well made and beautifully drawn. The explanation for each spirit cat is on the card which makes it easy to draw a card for inspiration and ignite intuition. This is a deeply inspiring deck, with such intense, yet whimsical art, and thoughtful messages."
985393300,4.931034483,29,1,"Quality (2), Value (4), Delivery (4), Content (1), Usability (27)","Best book you can buy for your move to Yokosuka. Author encourages people to tell her about things she may have missed in the previous edition. Part Zagats and part Lonely Planet, this slim book is designed to go into your purse.","Based on 29 verified reviews (avg rating 4.9/5, credibility 1.00): Best book you can buy for your move to Yokosuka. Author encourages people to tell her about things she may have missed in the previous edition. Part Zagats and part Lonely Planet, this slim book is designed to go into your purse."
B000050AUD,4.185185185,27,1,"Quality (1), Value (15), Delivery (1), Content (1), Usability (36)",The best non-manual toothbrush for your money. The massaging action is actually quite pleasant. The 30-second reminder is a cool function that lets you know every 30 seconds to move to a different part of your mouth.,"Based on 27 verified reviews (avg rating 4.2/5, credibility 1.00): The best non-manual toothbrush for your money. The massaging action is actually quite pleasant. The 30-second reminder is a cool function that lets you know every 30 seconds to move to a different part of your mouth."
B000050FDE,4.510526316,190,1,"Quality (21), Value (63), Delivery (3), Content (5), Usability (101)","This tooth brush cleans well, and is easy to use. Replacement heads are a little expensive but not prohibitive. The battery life is great, however it seems to take a while to fully charge.","Based on 190 verified reviews (avg rating 4.5/5, credibility 1.00): This tooth brush cleans well, and is easy to use. Replacement heads are a little expensive but not prohibitive. The battery life is great, however it seems to take a while to fully charge."
B000067E30,4.123076923,65,1,"Quality (3), Value (19), Delivery (2), Content (2), Usability (64)",An Inexpensive Way to Whiter Teeth. Crest Whitestrips are one of the most popular among the store brand tooth whitening products. They were introduced to the public in 2001 and they have been satisfying customers ever since. They work by concentrating special whitening ingredients like peroxide directly against the teeth.,"Based on 65 verified reviews (avg rating 4.1/5, credibility 1.00): An Inexpensive Way to Whiter Teeth. Crest Whitestrips are one of the most popular among the store brand tooth whitening products. They were introduced to the public in 2001 and they have been satisfying customers ever since. They work by concentrating special whitening ingredients like peroxide directly against the teeth."
B000068PBJ,4.048780488,41,1,"Quality (7), Value (26), Delivery (2), Content (1), Usability (30)","Norelco's top of the line model. It's rated @ 100 minutes, but  This is also the quietest razor. You can rinse the heads off under hot tap water. The floating heads fits all of the curves of   This razor is also fairly small in size.","Based on 41 verified reviews (avg rating 4.0/5, credibility 1.00): Norelco's top of the line model. It's rated @ 100 minutes, but  This is also the quietest razor. You can rinse the heads off under hot tap water. The floating heads fits all of the curves of   This razor is also fairly small in size."
B00009RB0X,3.940789474,152,1,"Quality (22), Value (51), Delivery (10), Content (1), Usability (52)",The Reflex Plus shavers combine 4 features pioneered by Norelco and improved over time. Rotary heads reduce the vibration common to reciprocating shavers. Floating heads individually hug the skin. Lift and Cut blades gently pull whiskers into the cutter for a closer shave.,"Based on 152 verified reviews (avg rating 3.9/5, credibility 1.00): The Reflex Plus shavers combine 4 features pioneered by Norelco and improved over time. Rotary heads reduce the vibration common to reciprocating shavers. Floating heads individually hug the skin. Lift and Cut blades gently pull whiskers into the cutter for a closer shave."
B00009RB0Y,4.121212121,66,1,"Quality (8), Value (36), Delivery (3), Usability (37)","Five Stars. Good stuff reliable, gets the job done,battery lasts at least 4-5 days. Super razor. Great Close shave, Easy to use and better than many more expensive shavers. An excellent value for the money!! Good Back-up. Inexpensive and lightweight.","Based on 66 verified reviews (avg rating 4.1/5, credibility 1.00): Five Stars. Good stuff reliable, gets the job done,battery lasts at least 4-5 days. Super razor. Great Close shave, Easy to use and better than many more expensive shavers. An excellent value for the money!! Good Back-up. Inexpensive and lightweight."
B00009RB1I,4.304347826,46,1,"Quality (1), Value (8), Delivery (7), Content (1), Usability (22)",This product is advertised as a lubricant but does not contain any lubricant ingredient. It does help in lubricating the blades and getting a smoother shave. It has been replaced now with Norelco/Phillips Cleaner/Lubricant.,"Based on 46 verified reviews (avg rating 4.3/5, credibility 1.00): This product is advertised as a lubricant but does not contain any lubricant ingredient. It does help in lubricating the blades and getting a smoother shave. It has been replaced now with Norelco/Phillips Cleaner/Lubricant."
B0000ZLF18,3.305882353,85,1,"Quality (3), Value (7), Delivery (3), Usability (8)",Sandalwood is woody and sweet. Divine Opium has similar notes to  Like. This does not smell at all like sandalwood. It's smells like a powdery old lady scent. Either it was labeled wrong or can't get  Decent.,"Based on 85 verified reviews (avg rating 3.3/5, credibility 1.00): Sandalwood is woody and sweet. Divine Opium has similar notes to  Like. This does not smell at all like sandalwood. It's smells like a powdery old lady scent. Either it was labeled wrong or can't get  Decent."
